temp	h	s	p kpa					
36.16	2567.40	8.33	6.00					
80.00	2650.10	8.58	6.00					
120.00	2726.00	8.78	6.00					
160.00	2802.50	8.97	6.00					
200.00	2879.70	9.14	6.00					
240.00	2957.80	9.30	6.00					
280.00	3036.80	9.45	6.00					
320.00	3116.70	9.59	6.00					
360.00	3197.70	9.72	6.00					
400.00	3279.60	9.84	6.00					
440.00	3362.60	9.96	6.00					
500.00	3489.10	10.13	6.00					
89.95	2660.00	7.48	70.00					
100.00	2680.00	7.53	70.00					
120.00	2719.60	7.64	70.00					
160.00	2798.20	7.83	70.00					
200.00	2876.70	8.00	70.00					
240.00	2955.50	8.16	70.00					
280.00	3035.00	8.32	70.00					
320.00	3115.30	8.45	70.00					
360.00	3196.50	8.58	70.00					
400.00	3278.60	8.71	70.00					
440.00	3361.80	8.83	70.00					
500.00	3488.50	9.00	70.00					
111.37	2693.60	7.22	150.00					
120.00	2711.40	7.27	150.00					
160.00	2792.80	7.47	150.00					
200.00	2872.90	7.64	150.00					
240.00	2952.70	7.81	150.00					
280.00	3032.80	7.96	150.00					
320.00	3113.50	8.10	150.00					
360.00	3195.00	8.23	150.00					
400.00	3277.40	8.36	150.00					
440.00	3360.70	8.48	150.00					
500.00	3487.60	8.65	150.00					
600.00	3704.30	8.91	150.00					
151.86	2748.70	6.82	500.00					
180.00	2812.00	6.97	500.00					
200.00	2855.40	7.06	500.00					
240.00	2939.90	7.23	500.00					
280.00	3022.90	7.39	500.00					
320.00	3105.60	7.53	500.00					
360.00	3188.40	7.67	500.00					
400.00	3271.90	7.79	500.00					
440.00	3356.00	7.92	500.00					
500.00	3483.90	8.09	500.00					
600.00	3701.70	8.35	500.00					
700.00	3925.90	8.60	500.00					
179.91	2778.10	6.59	1000.00					
200.00	2827.90	6.69	1000.00					
240.00	2920.40	6.88	1000.00					
280.00	3008.20	7.05	1000.00					
320.00	3093.90	7.20	1000.00					
360.00	3178.90	7.33	1000.00					
400.00	3263.90	7.47	1000.00					
440.00	3349.30	7.59	1000.00					
500.00	3478.50	7.76	1000.00					
540.00	3565.60	7.87	1000.00					
600.00	3697.90	8.03	1000.00					
640.00	3787.20	8.13	1000.00					
212.42	2799.50	6.34	2000.00					
240.00	2876.50	6.50	2000.00					
280.00	2976.40	6.68	2000.00					
320.00	3069.50	6.85	2000.00					
360.00	3159.30	6.99	2000.00					
400.00	3247.60	7.13	2000.00					
440.00	3335.50	7.25	2000.00					
500.00	3467.60	7.43	2000.00					
540.00	3556.10	7.54	2000.00					
600.00	3690.10	7.70	2000.00					
640.00	3780.40	7.80	2000.00					
700.00	3917.40	7.95	2000.00					
250.40	2801.40	6.07	4000.00					
280.00	2901.80	6.26	4000.00					
320.00	3015.40	6.46	4000.00					
360.00	3117.20	6.62	4000.00					
400.00	3213.60	6.77	4000.00					
440.00	3307.10	6.90	4000.00					
500.00	3445.30	7.09	4000.00					
540.00	3536.90	7.21	4000.00					
600.00	3674.40	7.37	4000.00					
640.00	3766.60	7.47	4000.00					
700.00	3905.90	7.62	4000.00					
740.00	3999.60	7.71	4000.00					
295.06	2758.00	5.74	8000.00					
320.00	2877.20	5.95	8000.00					
360.00	3019.80	6.18	8000.00					
400.00	3138.30	6.36	8000.00					
440.00	3246.10	6.52	8000.00					
480.00	3348.40	6.66	8000.00					
520.00	3447.70	6.79	8000.00					
560.00	3545.30	6.91	8000.00					
600.00	3642.00	7.02	8000.00					
640.00	3738.30	7.13	8000.00					
700.00	3882.40	7.28	8000.00					
740.00	3978.70	7.38	8000.00					
324.75	2684.9	5.4924	12000					
360	2895.7	5.8361	12000					
400	3051.3	6.0747	12000					
440	3178.7	6.2586	12000					
480	3293.5	6.4154	12000					
520	3401.8	6.5555	12000					
560	3506.2	6.684	12000					
600	3608.3	6.8037	12000					
640	3709	6.9164	12000					
700	3858.4	7.0749	12000					
740	3957.4	7.1746	12000					
347.44	2580.6	5.2455	16000					
360	2715.8	5.4614	16000					
400	2947.6	5.8175	16000					
440	3103.7	6.0429	16000					
480	3234.4	6.2215	16000					
520	3353.3	6.3752	16000					
560	3465.4	6.5132	16000					
600	3573.5	6.6399	16000					
640	3678.9	6.758	16000					
700	3833.9	6.9224	16000					
740	3935.9	7.0251	16000					
365.81	2409.7	4.9269	20000					
400	2818.1	5.554	20000					
440	3019.4	5.845	20000					
480	3170.8	6.0518	20000					
520	3302.2	6.2218	20000					
560	3423	6.3705	20000					
